,owner,driven km,transmission,fuel,body type,engine cc,max power bhp,wheel size inches,no of seats,mileage kmpl,price in rupee,purchase year,company
65,1,50000,1,1,2,2993,258,18,5,15.9,3727000,2015,BMW
66,1,23000,1,2,3,1591,121,16,5,17.4,600000,2016,Hyundai
67,1,62000,0,1,3,1248,74,14,5,28.4,556000,2017,Maruti
68,1,24000,0,1,3,1248,89,15,5,28.0,953000,2019,Maruti
69,1,45000,0,2,1,1197,83,16,5,21.4,490000,2016,Maruti
70,1,39000,0,1,3,1248,89,16,5,28.0,850000,2017,Maruti
71,1,41353,0,2,1,998,67,13,5,23.0,495000,2019,Maruti
72,1,43000,0,2,1,796,48,12,5,24.7,224000,2014,Maruti
73,1,6162,0,2,1,1197,83,14,5,20.4,449000,2014,Maruti
74,1,31000,1,1,2,2755,174,18,7,14.2,3450000,2019,Toyota
75,1,40000,1,1,2,2755,174,18,7,14.2,2913000,2018,Toyota
76,1,58011,0,2,1,1086,68,13,5,19.8,310000,2013,Hyundai
77,1,1200,0,1,1,1498,89,15,5,20.0,670000,2018,Volkswagen
78,1,2400,0,1,3,1248,88,15,5,20.6,571000,2017,Tata
79,1,38000,1,1,3,2993,258,18,5,14.6,2558000,2015,BMW
80,1,45800,0,1,4,2393,148,16,7,15.1,2750000,2019,Toyota
81,1,45688,0,1,4,2393,148,16,7,15.1,2475000,2018,Toyota
82,1,30000,0,1,4,2393,148,16,8,15.1,1213000,2017,Toyota
83,1,35633,0,2,2,1462,103,16,5,17.0,1425000,2020,Maruti
84,1,78950,1,1,3,2143,134,17,5,17.9,2295000,2016,Mercedes-Benz
85,1,58000,0,2,3,1591,121,16,5,17.4,925000,2017,Hyundai
86,1,28000,0,2,3,1591,121,16,5,17.4,608000,2017,Hyundai
87,1,40481,0,1,3,1248,89,15,5,28.0,725000,2017,Maruti
88,1,42245,0,1,1,1248,74,14,5,28.4,625000,2019,Maruti
89,1,9252,0,2,3,1462,103,15,5,21.5,875000,2019,Maruti
90,1,29833,0,2,3,1197,82,14,2,19.1,515000,2018,Hyundai
91,1,2400,0,2,1,1198,74,15,5,16.0,473000,2017,Volkswagen
92,1,33000,0,1,1,1498,89,15,5,20.0,682000,2019,Volkswagen
93,1,6014,0,2,1,1197,88,16,5,21.0,875000,2021,Toyota
94,1,34000,1,1,2,2755,174,18,7,14.2,2575000,2017,Toyota
95,1,60000,1,1,2,1582,126,17,5,17.1,1150000,2018,Hyundai
96,1,19014,1,2,2,1591,122,17,5,15.2,1385000,2019,Hyundai
97,1,45000,0,1,4,2393,148,17,7,15.1,1705000,2017,Toyota
98,1,45100,1,2,2,1591,122,16,5,15.2,1050000,2017,Hyundai
99,1,70000,1,1,2,2477,176,17,5,11.5,1290000,2015,Mitsubishi
100,1,53000,0,1,1,1498,98,14,5,27.3,550000,2016,Honda
101,1,48000,0,2,3,2354,180,16,5,7.6,410000,2010,Honda
102,1,39900,1,2,3,1798,177,16,5,14.7,840000,2015,Skoda
103,2,84000,0,2,3,1497,78,14,5,12.8,180000,2008,Honda
104,1,55000,0,2,1,1197,83,16,5,21.4,440000,2015,Maruti
105,1,35633,0,1,3,1582,126,16,5,24.8,1525000,2019,Hyundai
106,1,55635,1,1,2,2967,241,17,5,12.3,3775000,2016,Audi
107,1,57000,1,1,3,2143,134,17,5,17.9,2266000,2016,Mercedes-Benz
108,1,9000,1,1,3,2993,265,18,5,15.6,5459000,2019,BMW
109,1,70000,0,2,1,1197,80,14,5,12.4,249000,2012,Hyundai
110,1,39000,0,1,5,1598,118,16,5,22.0,915000,2018,Maruti
111,1,11000,0,1,5,1248,88,16,5,24.0,602000,2016,Maruti
112,1,11000,0,1,4,1498,98,15,7,24.5,568000,2015,Honda
113,1,25014,0,1,1,1248,74,15,5,27.3,821000,2019,Maruti
114,2,78000,1,1,3,1968,141,15,5,18.0,750000,2011,Audi
115,2,58000,0,1,1,1198,88,15,5,20.0,290000,2013,Volkswagen
116,1,18465,0,2,1,1197,83,16,5,21.4,841157,2019,Maruti
117,1,32500,0,1,1,1047,69,14,5,27.2,435000,2017,Tata
118,1,20014,0,2,4,1462,103,15,5,19.3,980000,2019,Maruti
119,1,7000,1,1,2,2184,130,18,4,16.5,2025000,2021,Mahindra
120,1,50900,0,2,1,1197,81,14,5,18.9,420000,2015,Hyundai
121,1,24000,1,1,3,1968,141,16,5,19.5,2823000,2020,Skoda
122,1,19658,0,2,2,1497,113,16,5,16.8,1083000,2021,Hyundai
123,3,115000,1,2,2,2995,335,20,5,12.6,5000000,2018,Land
124,1,45000,0,1,4,2393,148,16,8,15.1,1766000,2018,Toyota
125,1,40014,0,1,2,2179,120,17,7,16.3,1100000,2017,Mahindra
126,1,1100,0,1,1,1248,74,14,5,25.2,454000,2016,Maruti
127,1,21000,0,1,5,1598,118,16,5,22.0,862000,2018,Maruti
128,1,24000,0,2,3,1373,91,15,5,20.7,657000,2018,Maruti
129,1,32014,0,1,2,2179,120,17,7,16.3,1100000,2017,Mahindra
130,1,40014,0,1,5,1248,88,16,5,24.0,745000,2017,Maruti
131,1,88500,0,1,2,1461,83,16,5,20.5,499000,2014,Nissan
132,3,110000,0,1,2,2755,174,17,7,14.2,1250000,2014,Toyota
133,2,145000,0,1,4,2494,102,15,5,11.4,565000,2010,Toyota
134,2,80000,0,2,1,1197,85,14,5,18.5,350000,2016,Maruti
135,1,115000,0,1,1,1248,73,14,5,23.2,349000,2015,Maruti
136,1,24950,1,2,1,1197,83,15,5,21.4,699000,2018,Maruti
137,1,3500,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
138,1,5000,0,2,6,1196,73,13,5,16.2,500000,2018,Maruti
139,1,4000,0,2,3,1198,87,14,5,17.8,700000,2018,Honda
140,1,8000,1,2,1,1197,82,15,5,20.8,700000,2019,Maruti
141,1,24000,1,1,3,2143,134,17,5,17.9,2998689,2018,Mercedes-Benz
142,1,85000,0,2,1,1197,80,14,5,12.4,300000,2012,Hyundai
143,1,11000,1,2,1,999,67,13,5,22.5,350000,2018,Datsun
144,2,190000,1,1,2,2982,169,17,5,12.5,1300000,2013,Toyota
145,2,170000,0,1,2,2982,169,17,5,11.9,680000,2009,Toyota
146,1,65000,0,1,3,1248,74,14,5,26.5,920000,2015,Maruti
147,1,65000,0,1,3,1248,88,15,5,28.0,920000,2015,Maruti
148,1,58188,0,2,1,1199,84,13,5,23.8,365000,2017,Tata
149,2,65000,0,1,3,1498,99,15,5,26.0,520000,2014,Honda
150,2,75600,0,2,1,1198,87,14,5,18.7,350000,2012,Honda
151,1,52412,0,3,1,796,40,12,5,33.4,285000,2016,Maruti
152,1,58000,1,2,1,998,67,13,5,23.0,390000,2014,Maruti
153,1,60000,0,1,2,2498,105,16,5,13.0,565000,2015,Mahindra
154,1,88500,0,1,3,1582,126,16,5,22.3,510000,2012,Hyundai
155,1,58633,0,1,1,1368,98,14,5,18.6,775000,2014,Hyundai
156,1,18200,1,1,3,2993,262,19,4,11.1,7467500,2016,BMW
157,1,48699,0,2,3,1197,83,14,5,20.8,625000,2014,Maruti
158,1,32600,1,1,2,2993,258,18,5,15.9,7107000,2019,BMW
159,1,12000,1,1,3,2993,262,19,4,11.1,9785000,2018,BMW
160,1,65000,0,1,2,1396,88,16,5,21.3,1075000,2017,Hyundai
161,1,69227,0,1,1,1248,74,14,5,25.2,550000,2014,Maruti
162,1,99498,0,1,3,1498,99,14,5,25.8,520000,2016,Honda
163,1,25000,1,1,2,1998,148,18,7,16.2,2677697,2018,Skoda
164,1,58000,0,2,1,998,67,13,5,24.0,275000,2013,Maruti
165,1,45000,0,2,1,1197,80,13,5,20.0,280000,2013,Hyundai
166,1,42781,1,2,3,1798,170,16,5,18.7,1250000,2011,Audi
167,1,25000,0,1,3,1582,126,16,5,22.3,661000,2016,Hyundai
168,1,39000,0,1,1,1248,74,14,5,25.2,490000,2014,Maruti
169,1,53200,0,1,2,2179,140,17,5,14.0,920000,2013,Mahindra
170,1,63000,0,1,3,1248,74,14,5,14.0,251000,2010,Maruti
171,1,21000,0,2,1,998,61,13,5,14.4,151000,2009,Maruti
172,1,51000,0,2,1,1197,83,16,5,21.4,489000,2016,Maruti
173,1,27000,0,1,2,1396,88,16,5,21.3,883000,2017,Hyundai
174,1,45000,0,1,4,2393,148,16,8,15.1,1698000,2019,Toyota
175,1,45322,1,1,2,2755,174,18,7,14.2,3875000,2019,Toyota
176,1,30000,1,1,3,2143,134,17,5,17.9,2927000,2018,Mercedes-Benz
177,1,55865,0,1,2,2835,118,15,5,13.5,925000,2008,Mitsubishi
178,1,45000,0,2,1,1197,83,16,5,21.4,562000,2017,Maruti
179,1,40255,0,2,3,1197,83,14,5,22.0,451000,2012,Maruti
180,1,43620,0,2,1,1197,79,14,5,17.7,415000,2015,Toyota
181,1,37415,0,1,1,1396,89,14,5,22.5,675000,2018,Hyundai
182,1,68000,0,2,1,1086,68,13,5,19.8,225000,2012,Hyundai
183,1,37000,1,2,3,1798,177,17,5,14.7,1700000,2016,Skoda
184,1,861,0,2,1,1197,82,15,5,20.8,635000,2021,Maruti
185,1,55000,0,1,3,1248,74,14,5,14.0,352000,2013,Maruti
186,1,11000,0,2,2,1497,113,16,5,16.8,1250000,2020,Hyundai
187,1,28000,0,2,1,1197,83,15,5,21.4,590000,2018,Maruti
188,1,1000,0,1,4,1498,98,15,7,24.5,497000,2014,Honda
189,3,75000,0,2,3,1498,99,15,5,26.0,250000,2009,Honda
190,1,78000,0,1,2,2199,194,18,7,14.7,1095000,2014,Hyundai
191,1,31000,1,1,3,2143,204,17,5,14.2,1550000,2013,Mercedes-Benz
192,1,438000,1,1,3,1995,190,18,5,18.4,825000,2010,BMW
193,1,53000,1,1,3,1968,141,16,5,16.5,1184500,2012,Audi
194,1,28000,1,1,3,1995,184,17,5,18.4,2987000,2016,BMW
195,1,36000,1,1,3,2143,134,17,5,17.9,2266000,2016,Mercedes-Benz
196,1,17000,1,1,3,2143,204,17,5,19.7,1163000,2011,Mercedes-Benz
197,1,79000,1,2,3,1497,117,15,5,18.0,500000,2012,Honda
198,1,60270,0,2,3,1591,121,16,5,17.4,650000,2015,Hyundai
199,1,37515,1,2,3,1197,82,14,5,22.0,620000,2017,Maruti
200,1,28638,0,1,2,2179,153,17,7,16.0,1956000,2019,Mahindra
201,1,25000,0,1,2,1396,89,16,5,21.3,975000,2018,Hyundai
202,1,35622,0,1,3,1582,126,16,5,25.0,1625000,2019,Hyundai
203,1,47403,0,2,1,999,67,13,5,22.5,229000,2017,Datsun
204,1,14228,1,1,1,2143,134,16,4,16.0,2600000,2019,Mercedes-Benz
205,1,23000,0,2,1,1197,82,15,5,21.0,650000,2020,Maruti
206,1,58000,1,1,2,2179,140,17,7,13.8,950000,2017,Mahindra
207,4,70000,0,1,3,1968,138,16,5,19.3,250000,2010,Volkswagen
208,1,58000,0,1,2,1461,108,16,5,19.6,611000,2015,Renault
209,1,75000,1,1,2,2199,194,18,7,14.7,985000,2014,Hyundai
210,2,86000,0,1,2,2179,148,16,5,13.9,490000,2015,Tata
211,1,18000,1,2,2,1591,122,16,5,15.2,940000,2016,Hyundai
212,1,58000,0,2,1,995,63,13,5,13.0,175000,2012,Chevrolet
213,1,65355,0,1,4,2494,102,15,5,11.4,1175000,2014,Toyota
214,1,700,0,2,2,998,118,16,5,18.2,945000,2019,Hyundai
215,1,20000,1,1,2,2143,134,18,5,17.9,2600000,2018,Mercedes-Benz
216,1,20000,0,1,1,936,57,14,5,25.4,160000,2011,Chevrolet
217,1,40000,1,1,2,1968,174,16,5,15.7,2665000,2016,Audi
218,1,25366,0,1,3,1248,74,14,5,28.4,975000,2018,Maruti
219,1,25000,1,1,2,2993,258,18,5,15.3,3728000,2015,BMW
220,1,15000,1,1,3,1995,184,17,5,18.4,3542000,2016,BMW
221,1,45000,1,1,2,2755,174,18,7,14.2,2575000,2017,Toyota
222,1,56000,0,1,1,1396,89,14,5,22.5,750000,2019,Hyundai
223,1,71000,1,1,2,1968,184,17,5,15.7,1650000,2014,Audi
224,1,2100,0,2,3,1591,121,16,5,17.4,417000,2013,Hyundai
225,1,25119,0,2,3,1598,103,15,5,16.0,600000,2018,Volkswagen
226,1,37564,0,2,1,1197,81,14,5,18.9,385000,2016,Hyundai
227,1,38000,0,1,1,1248,74,14,5,25.2,205000,2010,Maruti
228,1,89000,1,1,2,1582,126,17,5,17.1,987000,2017,Hyundai
229,1,25000,0,1,3,1461,84,14,5,22.7,547000,2018,Nissan
230,1,25000,0,1,3,1248,74,15,5,28.4,657000,2018,Maruti
231,1,5900,0,2,1,1197,82,14,5,20.7,800000,2020,Hyundai
232,1,19000,1,2,1,1197,81,14,5,20.7,699000,2019,Hyundai
233,1,40181,0,2,2,1582,122,17,5,15.2,865000,2016,Hyundai
234,2,75000,0,1,2,2179,120,17,7,16.3,1150000,2017,Mahindra
235,1,50181,0,1,2,2523,75,15,5,16.1,594000,2015,Mahindra
236,1,61500,0,1,2,1498,110,15,5,18.8,875000,2018,Ford
237,1,17000,1,2,1,1197,83,15,5,21.4,759000,2019,Maruti
238,1,65000,0,1,1,1248,74,14,5,25.2,500000,2019,Maruti
239,1,7700,1,2,1,998,67,14,5,20.5,559000,2019,Maruti
240,1,29650,0,2,3,1198,89,14,5,19.5,625000,2018,Honda
241,1,55000,0,1,4,2393,148,16,7,15.1,1820000,2016,Toyota
242,1,2000,1,1,3,1995,184,17,5,18.8,2100000,2013,BMW
243,1,50000,1,1,3,2143,134,17,5,17.9,1636000,2013,Mercedes-Benz
244,3,127000,1,1,3,2987,282,18,5,13.5,8000000,2018,Mercedes-Benz
245,1,5000,0,1,4,2393,148,16,7,15.1,3000000,2019,Toyota
246,1,5700,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
247,1,5800,1,2,3,1991,184,17,5,12.0,5000000,2018,Mercedes-Benz
248,1,5500,0,1,4,2393,148,16,7,15.1,2000000,2018,Toyota
249,1,8000,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
250,1,5900,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
251,1,5400,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
252,1,5000,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
253,1,18575,0,2,1,1197,88,16,5,21.0,760000,2020,Toyota
254,1,44000,0,2,1,1086,63,13,5,12.8,100000,2006,Hyundai
255,1,12000,1,2,3,1991,184,17,5,12.0,4116000,2018,Mercedes-Benz
256,1,19857,1,2,1,1198,89,15,5,18.7,879000,2020,Honda
257,1,9800,1,1,4,2755,172,17,7,14.2,2500000,2016,Toyota
258,1,41049,1,2,3,1797,147,16,5,16.3,850000,2015,Hyundai
259,1,75661,0,1,4,2494,100,15,5,12.9,901000,2014,Toyota
260,1,62997,1,2,2,1499,110,15,5,18.8,613000,2014,Ford
261,1,70000,0,1,1,936,57,14,5,25.4,201000,2011,Chevrolet
262,2,41496,0,1,3,1461,84,14,5,22.7,304000,2012,Nissan
263,1,64000,0,2,3,1799,130,15,5,14.8,438000,2011,Honda
264,1,74378,1,2,3,1799,130,15,5,14.8,355500,2010,Honda
265,1,42000,1,1,2,2755,174,18,7,14.2,3154000,2018,Toyota
266,1,4800,0,1,4,2393,148,16,7,15.1,2500000,2020,Toyota
267,1,5000,1,1,2,2755,174,18,7,14.2,4500000,2020,Toyota
268,1,5000,1,1,2,2755,174,18,7,14.2,4500000,2020,Toyota
269,1,5000,1,1,2,1996,168,18,7,12.4,4500000,2021,Ford
270,1,4500,0,1,4,2393,148,16,7,15.1,2500000,2020,Toyota
271,1,25000,1,1,3,1950,192,17,5,12.0,7000000,2020,Mercedes-Benz
272,1,17572,0,2,1,799,53,13,5,25.1,304000,2017,Renault
273,1,32261,0,1,1,1248,74,15,5,26.8,540700,2017,Maruti
274,1,50000,0,1,2,2179,148,16,5,14.0,1000000,2017,Tata
275,1,60000,0,2,1,1197,82,14,5,22.0,700000,2018,Maruti
276,1,60000,0,2,3,1197,83,14,5,22.0,400000,2010,Maruti
277,1,50000,0,2,1,1086,63,13,5,12.8,200000,2005,Hyundai
278,1,23000,1,1,2,1995,190,18,5,18.5,4892000,2019,BMW
279,1,50000,0,1,2,2982,169,17,5,11.9,1200000,2011,Toyota
280,1,23322,0,2,1,1086,68,13,5,20.3,530500,2019,Hyundai
281,1,60000,0,2,1,1086,68,13,5,19.8,147000,2009,Hyundai
282,1,50000,0,1,3,1248,88,15,5,21.2,500000,2013,Tata
283,1,50000,0,1,3,1248,74,14,5,26.5,700000,2015,Maruti
284,1,26120,0,2,5,1197,82,16,5,17.1,613000,2016,Hyundai
285,1,18358,0,2,2,1582,122,17,5,15.2,1261750,2019,Hyundai
286,1,50000,0,2,1,1197,83,14,5,20.4,400000,2010,Maruti
287,1,50000,0,2,1,1197,83,14,5,20.4,300000,2007,Maruti
288,1,50000,0,2,3,1497,117,15,5,17.8,800000,2014,Honda
289,1,50000,0,1,2,1582,126,17,5,19.6,1800000,2019,Hyundai
290,1,40000,1,1,2,2755,174,18,7,14.2,3178000,2018,Toyota
291,1,50000,0,1,1,1248,74,14,5,25.2,400000,2012,Maruti
292,1,41647,1,1,3,1582,126,16,5,22.5,891000,2015,Hyundai
293,1,35000,0,1,1,1248,74,14,5,28.4,800000,2018,Maruti
294,1,19000,1,2,3,1497,117,15,5,18.0,952700,2017,Honda
295,1,21266,0,2,3,1373,91,16,5,20.7,757000,2017,Maruti
296,1,50000,0,2,1,1197,80,13,5,20.0,400000,2013,Hyundai
297,1,50000,0,2,3,1799,130,15,5,14.8,300000,2007,Honda
298,1,50000,0,1,4,1497,121,16,8,17.6,1500000,2018,Mahindra
299,1,32605,1,2,2,1499,110,15,5,18.8,772500,2016,Ford
300,1,62193,1,2,3,1798,177,16,5,14.7,788000,2014,Skoda
301,1,50000,0,1,1,1248,74,14,5,25.2,600000,2016,Maruti
302,1,50000,0,2,1,1061,64,13,5,11.0,300000,2006,Maruti
303,1,50000,0,1,4,1248,89,15,7,24.5,900000,2017,Maruti
304,1,50000,0,2,3,1497,117,15,5,17.8,900000,2016,Honda
305,1,40178,1,1,2,2179,147,17,5,12.3,1663291,2011,Land
306,1,49000,1,1,3,1968,141,16,5,20.3,1650000,2015,Audi
307,1,12455,0,1,2,1493,113,17,5,21.4,1659000,2020,Hyundai
308,1,89000,0,1,3,1896,105,15,5,12.6,475000,2011,Skoda
309,1,97565,0,1,2,1499,110,15,5,18.8,590000,2015,Ford
310,1,1200,0,1,2,2498,105,16,5,13.0,942000,2018,Mahindra
311,1,43000,1,2,3,1798,177,17,5,14.7,1920000,2017,Skoda
312,1,42000,1,2,1,999,53,13,5,25.1,310000,2018,Renault
313,1,18000,0,2,1,999,70,13,5,25.1,325000,2017,Renault
314,1,83000,1,1,3,2143,170,16,5,19.2,1300000,2012,Mercedes-Benz
315,1,34000,0,2,2,1497,121,16,5,17.0,825000,2019,Ford
316,1,65000,0,1,2,1498,110,15,5,18.8,772500,2016,Ford
317,1,77000,0,1,4,1248,76,14,8,18.2,349000,2014,Chevrolet
318,3,80000,0,3,3,1399,94,14,5,11.9,135000,2011,Chevrolet
319,1,51000,1,2,3,2494,158,17,5,19.1,2880000,2018,Toyota
320,2,14000,1,2,2,2694,164,17,7,10.2,2980000,2018,Toyota
321,3,75000,0,2,3,1496,90,14,5,17.5,199000,2011,Toyota
322,2,150000,0,1,4,2494,100,15,5,12.9,540750,2012,Toyota
323,1,87000,0,2,6,1196,73,13,5,16.2,250000,2010,Maruti
324,1,35959,0,2,1,998,67,13,5,24.0,400000,2018,Maruti
325,1,120435,0,1,3,1364,68,14,5,18.0,390000,2011,Toyota
326,1,42831,0,2,1,1198,74,15,5,16.0,535000,2014,Volkswagen
327,1,25506,0,2,1,814,55,12,5,21.1,250000,2015,Hyundai
328,1,80000,0,2,2,1591,122,16,5,15.2,900000,2016,Hyundai
329,1,5400,0,1,4,2393,148,16,7,15.1,2500000,2019,Toyota
330,1,60018,1,1,2,1968,174,16,5,15.7,1885000,2014,Audi
331,2,58000,0,2,1,1197,80,13,5,20.0,257500,2012,Hyundai
332,1,58000,0,2,2,1591,122,16,5,15.2,844600,2015,Hyundai
333,1,66500,0,1,1,1248,74,14,5,25.2,360500,2012,Maruti
334,1,9000,0,2,1,999,67,13,5,23.0,412000,2017,Renault
335,1,12000,0,2,1,1197,89,16,5,23.8,772500,2019,Toyota
336,1,110000,0,1,4,2494,100,15,5,12.9,850000,2015,Toyota
337,1,55000,0,1,1,1248,74,15,5,27.3,475000,2017,Maruti
338,1,100000,1,1,3,2993,258,18,5,14.6,1600000,2012,BMW
339,1,67000,0,2,1,796,48,12,5,24.7,250000,2015,Maruti
340,1,25414,0,2,2,1591,122,17,5,15.2,1085872,2016,Hyundai
341,1,19856,1,2,7,1991,255,17,4,17.9,4998896,2019,Mercedes-Benz
342,1,33000,1,2,3,1197,82,14,5,22.0,625000,2017,Maruti
343,1,59000,0,1,1,1248,74,15,5,27.3,575000,2016,Maruti
344,1,5800,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
345,1,5900,0,1,4,2393,148,16,7,15.1,2500000,2018,Toyota
346,1,8000,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
347,1,33000,0,2,1,998,67,13,5,20.5,396550,2018,Maruti
348,1,68000,0,2,3,1497,117,15,5,17.8,360500,2011,Honda
349,1,5000,1,1,2,2755,174,18,7,14.2,4500000,2019,Toyota
350,1,5000,1,1,2,3198,197,18,7,10.7,4500000,2019,Ford
351,1,25000,1,1,3,1995,188,18,5,22.4,6000000,2019,BMW
352,1,50000,1,2,3,1991,194,17,5,12.0,8000000,2021,Mercedes-Benz
353,1,8800,1,2,3,1999,197,17,5,13.0,4000000,2018,Jaguar
354,1,5900,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
355,1,8000,1,1,2,1995,177,17,5,15.0,3500000,2019,BMW
356,1,5200,1,1,2,3198,197,18,7,10.7,4500000,2019,Ford
357,1,7700,1,1,2,2755,174,18,7,14.2,4500000,2019,Toyota
358,1,4800,1,1,2,2755,174,18,7,14.2,4500000,2019,Toyota
359,1,5800,1,1,4,2755,172,17,7,14.2,3200000,2019,Toyota
360,1,50000,0,1,2,1396,88,16,5,21.3,730000,2017,Hyundai
361,1,8000,1,1,2,2755,174,18,7,14.2,4000000,2018,Toyota
362,1,6900,1,1,3,1950,192,17,5,18.0,5000000,2018,Mercedes-Benz
363,1,5000,1,1,2,1996,168,18,7,12.4,4000000,2020,Ford
364,1,5000,1,1,2,2755,174,17,7,15.0,45000000,2021,Toyota
365,1,5500,1,1,2,2755,174,18,7,14.2,4500000,2020,Toyota
366,1,8000,1,1,2,1996,168,18,7,12.4,4500000,2020,Ford
367,1,50000,1,1,3,1950,192,17,5,12.0,8000000,2021,Mercedes-Benz
