name,price,owner,driven km,transmission,fuel,body type,mileage,engine cc,max power bhp,wheel size inches,no of seats
Honda Mobilio RS i-DTEC 2014,"₹ 5,35,000",First Owner,38000 Km,Manual,Diesel,MUV,24.5 kmpl,1498 cc,98.6bhp,15 Inch,7 Seater
Ford EcoSport Titanium+ 1.5L TDCi 2018,"₹ 8,65,000",First Owner,58000 Km,Manual,Diesel,SUV,18.88 kmpl,1498 cc,110,"15""",5 Seater
Honda CR-V 2.4 AT 2012,"₹ 6,85,000",First Owner,49000 Km,Automatic,Petrol,SUV,8.7 kmpl,2398 cc,187 bhp,17 Inches,5 Seater
Maruti Suzuki XL6 Alpha MT Petrol 2020,"₹ 9,89,999",First Owner,9000 Km,Manual,Petrol,MUV,18 kmpl,1462cc,103 bhp,15 Inches,6 Seater
Mahindra Marazzo M8 8 STR 2019,"₹ 12,92,600",First Owner,35000 Km,Manual,Diesel,MUV,17.6 kmpl,1497 cc,121 bhp,16 Inches,8 Seater
Maruti Suzuki Ciaz ZDi+ SHVS 2016,"₹ 5,99,991",First Owner,31844 Km,Manual,Diesel,Sedan,26.21kmpl,1248 cc,88.5bhp,15 inch,5 Seater
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) 2017,"₹ 4,29,999",First Owner,11000 Km,Manual,Petrol,Hatchback,18.9 kmpl,1197 cc,81 bhp,14,5 Seater
Ford EcoSport Titanium 1.5L TDCi 2016,"₹ 6,53,000",First Owner,41000 Km,Manual,Diesel,SUV,18.88 kmpl,1498 cc,110,"15""",5 Seater
Volkswagen Jetta 2.0L TDI Comfortline 2012,"₹ 4,38,000",First Owner,38000 Km,Manual,Diesel,Sedan,19.33 kmpl,1968 cc,138 bhp,16,5 Seater
Renault Duster 110 PS RXL 2014,"₹ 5,50,000",First Owner,23000 Km,Manual,Diesel,SUV,19.6 kmpl,1461 cc,108.45bhp,16 Inch,5 Seater
Mercedes-Benz GLC 200 4MATIC BS6 2020,"₹ 50,00,000",First Owner,55000 Km,Automatic,Petrol,SUV,13.51 kmpl,1991 cc,194 bhp,17 Inch,5 Seater
Toyota Innova Crysta 2.8 G 7 Seater 2019,"₹ 25,00,000",First Owner,4800 Km,Manual,Diesel,MUV,14.29 kmpl,2755 cc,172 bhp,16 inch,7 Seater
Maruti Suzuki Swift VXi 2015,"₹ 6,00,000",First Owner,4500 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Hyundai Elite i20 Sportz 1.2 2017,"₹ 8,00,000",First Owner,5500 Km,Manual,Petrol,Hatchback,18.6 kmpl,1197 cc,82 bhp,14 Inch,5 Seater
Maruti Suzuki Dzire VDi 2018,"₹ 7,10,000",First Owner,21000 Km,Manual,Diesel,Sedan,28.4 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Hyundai Elite i20 Sportz 1.4 CRDi 2015,"₹ 5,49,529",First Owner,25000 Km,Manual,Diesel,Hatchback,22.54 kmpl,1396 cc,89 bhp,14,5 Seater
Toyota Fortuner 3.0 4x2 MT 2014,"₹ 17,75,000",First Owner,64533 Km,Manual,Diesel,SUV,11.9 kmpl,2982 cc,169 bhp,17 Inch,5 Seater
Mercedes-Benz C-Class C 220d Prime 2020,"₹ 43,91,000",First Owner,12000 Km,Automatic,Diesel,Sedan,19.27 kmpl,2143 cc,170,R17,5 Seater
Volkswagen Polo Highline 1.2L (P) 2015,"₹ 4,75,000",Second Owner,53000 Km,Manual,Petrol,Hatchback,16 Kmpl,1198 cc,74 bhp,15'',5 Seater
Toyota Innova Crysta 2.4 G 7 STR 2017,"₹ 15,50,000",First Owner,65000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Toyota Fortuner 2.8 4x4 AT 2015,"₹ 28,00,000",First Owner,58965 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Toyota Fortuner 3.0 4X2 AT 2014,"₹ 17,75,000",First Owner,48633 Km,Automatic,Diesel,SUV,12.55 kmpl,2982 cc,169 bhp,17 Inch,5 Seater
Toyota Fortuner 3.0 4X2 AT 2014,"₹ 17,75,000",Second Owner,65890 Km,Automatic,Diesel,SUV,12.55 kmpl,2982 cc,169 bhp,17 Inch,5 Seater
Mercedes-Benz GLC 220 d 4MATIC BS6 2020,"₹ 63,86,000",First Owner,7300 Km,Automatic,Diesel,SUV,18.18 kmpl,1950 cc,192 bhp,18 Inch,5 Seater
Renault KWID 1.0 RXL  2016,"₹ 2,35,000",First Owner,28000 Km,Manual,Petrol,Hatchback,23.01 kmpl,999 cc,67 bhp,13 Inch,5 Seater
Honda City 1.5 SV i-VTEC 2015,"₹ 6,15,000",Second Owner,26118 Km,Manual,Petrol,Sedan,17.4 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Tata Nexon XZA Plus (O) Petrol BS6 2020,"₹ 11,97,249",First Owner,8475 Km,Automated Manual Transmission,Petrol,SUV,16 kmpl,1199 cc,118 bhp,16 Inch,5 Seater
Hyundai Verna XI 2007,"₹ 2,10,000",Second Owner,59000 Km,Manual,Petrol,Sedan,10.78 kmpl,1599cc,103 Bhp,14 inch,5 Seater
Hyundai i10 Sportz 1.2 AT 2011,"₹ 3,50,000",Second Owner,77000 Km,Automatic,Petrol,Hatchback,17 kmpl,1197 cc,80bhp,13 Inch,5 Seater
Hyundai Venue SX 1.0 Petrol 2019,"₹ 12,00,000",First Owner,18000 Km,Manual,Petrol,SUV,18.2 kmpl,998 cc,118 bhp,16 Inches,5 Seater
Maruti Suzuki Swift VDi 2017,"₹ 6,25,000",First Owner,58000 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Maruti Suzuki Alto LXi 2010,"₹ 1,60,000",First Owner,92000 Km,Manual,Petrol,Hatchback,19.7 kmpl,796 cc,47 bhp,12 Inch,5 Seater
Maruti Suzuki Swift DZire LDi Opt 2016,"₹ 4,50,000",First Owner,55000 Km,Manual,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Maruti Suzuki Ciaz VDi+ SHVS 2016,"₹ 6,75,000",First Owner,31650 Km,Manual,Diesel,Sedan,28.09 kmpl,1248 cc,88.5bhp,15 inch,5 Seater
Honda City V AT Petrol 2013,"₹ 5,25,000",Second Owner,71000 Km,Automatic,Petrol,Sedan,18 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Maruti Suzuki Baleno Delta 1.2 2020,"₹ 6,74,000",First Owner,25000 Km,Manual,Petrol,Hatchback,21.4 kmpl,1197 cc,83 bhp,15 Inch,5 Seater
Mahindra Thar CRDe 4X4 BS IV 2019,"₹ 9,27,000",First Owner,20000 Km,Manual,Diesel,SUV,13 kmpl,2498 cc,105 bhp,16 Inch,6 Seater
Honda Brio S MT 2017,"₹ 4,50,000",First Owner,35000 Km,Manual,Petrol,Hatchback,18.9 kmpl,1198 cc,87 bhp,14 Inch,5 Seater
Hyundai Verna SX (O) 1.5 VTVT IVT BS6 2020,"₹ 13,91,501",First Owner,16845 Km,Automatic,Petrol,Sedan,18.45 kmpl,1497 cc,113 bhp,16 Inch,5 Seater
Kia Seltos HTX 1.5 Diesel 2019,"₹ 15,07,030",First Owner,37498 Km,Manual,Diesel,SUV,20 kmpl,1493 cc,114 bhp,17 Inches,5 Seater
Toyota Fortuner 3.0 4X2 AT 2017,"₹ 26,50,000",First Owner,65000 Km,Automatic,Diesel,SUV,12.55 kmpl,2982 cc,169 bhp,17 Inch,7 Seater
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT 2019,"₹ 6,70,000",First Owner,56000 Km,Manual,Petrol,Hatchback,19.77 kmpl,1197 cc,81 bhp,14,5 Seater
Maruti Suzuki Wagon R LXi CNG 2014,"₹ 3,00,000",First Owner,65000 Km,Manual,Petrol + CNG,Hatchback,26.6 Kmpl,998 cc,58.16bhp,13,5 Seater
Maruti Suzuki Wagon R LXi CNG 2011,"₹ 2,24,000",First Owner,65000 Km,Manual,Petrol + CNG,Hatchback,26.6 Kmpl,998 cc,58.16bhp,13,5 Seater
Maruti Suzuki Wagon R LXi CNG 2010,"₹ 2,11,000",First Owner,75000 Km,Manual,Petrol + CNG,Hatchback,26.6 Kmpl,998 cc,58.16bhp,13,5 Seater
BMW X5 xDrive30d Pure Experience (7Seater) 2015,"₹ 37,27,000",First Owner,50000 Km,Automatic,Diesel,SUV,15.97 kmpl,2993 cc,258 bhp,18 Inch,5 Seater
Hyundai Verna 1.6 VTVT SX AT 2016,"₹ 6,00,000",First Owner,23000 Km,Automatic,Petrol,Sedan,17.4 kmpl,1591 cc,121 bhp,16 Inch,5 Seater
Maruti Suzuki Dzire VDi 2017,"₹ 5,56,000",First Owner,62000 Km,Manual,Diesel,Sedan,28.4 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Maruti Suzuki Ciaz Zeta 1.3 Hybrid 2019,"₹ 9,53,000",First Owner,24000 Km,Manual,Diesel,Sedan,28.09 kmpl,1248 cc,89 bhp,15 Inch,5 Seater
Maruti Suzuki Baleno Alpha 1.2 2016,"₹ 4,90,000",First Owner,45000 Km,Manual,Petrol,Hatchback,21.4kmpl,1197 cc,83 bhp,16 Inch,5 Seater
Maruti Suzuki Ciaz Alpha 1.3 Hybrid 2017,"₹ 8,50,000",First Owner,39000 Km,Manual,Diesel,Sedan,28.09 kmpl,1248 cc,89 bhp,16 Inch,5 Seater
Maruti Suzuki Celerio VXi (O) 2019,"₹ 4,95,000",First Owner,41353 Km,Manual,Petrol,Hatchback,23 kmpl,998 cc,67 bhp,13'',5 Seater
Maruti Suzuki ALTO 800 LXi 2014,"₹ 2,24,000",First Owner,43000 Km,Manual,Petrol,Hatchback,24.7 kmpl,796cc,48 bhp,12 Inch,5 Seater
Maruti Suzuki Swift VXi 2014,"₹ 4,49,000",First Owner,6162 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Toyota Fortuner 2.8 4x4 AT 2019,"₹ 34,50,000",First Owner,31000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inches,7 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 29,13,000",First Owner,40000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Hyundai i10 Era 1.1 iRDE2 2013,"₹ 3,10,000",First Owner,58011 Km,Manual,Petrol,Hatchback,19.81 kmpl,1086 cc,68 bhp,13 Inch,5 Seater
Volkswagen Polo Highline 1.5L (D) 2018,"₹ 6,70,000",First Owner,1200 Km,Manual,Diesel,Hatchback,20 Kmpl,1498 cc,89 bhp,15'',5 Seater
Tata Zest quadrajet 1.3 90PS XT diesel 2017,"₹ 5,71,000",First Owner,2400 Km,Manual,Diesel,Sedan,20.65 kmpl,1248 cc,88.7bhp,15 Inch,5 Seater
BMW 5 Series 530d 2015,"₹ 25,58,000",First Owner,38000 Km,Automatic,Diesel,Sedan,14.69 kmpl,2993 cc,258 bhp,18'',5 Seater
Toyota Innova Crysta 2.4 VX 7 STR 2019,"₹ 27,50,000",First Owner,45800 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Toyota Innova Crysta 2.4 VX 7 STR 2018,"₹ 24,75,000",First Owner,45688 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Toyota Innova Crysta 2.4 G 8 STR 2017,"₹ 12,13,000",First Owner,30000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,8 Seater
Maruti Suzuki Vitara Brezza ZXi BS6 2020,"₹ 14,25,000",First Owner,35633 Km,Manual,Petrol,SUV,17.03 kmpl,1462 cc,103 bhp,16 inch,5 Seater
Mercedes-Benz CLA 200 CDI Sport 2016,"₹ 22,95,000",First Owner,78950 Km,Automatic,Diesel,Sedan,17.9 kmpl,2143 cc,134 bhp,17'',5 Seater
Hyundai Verna FLUIDIC 1.6 VTVT SX opt 2017,"₹ 9,25,000",First Owner,58000 Km,Manual,Petrol,Sedan,17.4 kmpl,1591 cc,121 bhp,16 Inch,5 Seater
Hyundai Verna 1.6 VTVT SX 2017,"₹ 6,08,000",First Owner,28000 Km,Manual,Petrol,Sedan,17.4 kmpl,1591 cc,121 bhp,16 Inch,5 Seater
Maruti Suzuki Ciaz Delta 1.3 Hybrid 2017,"₹ 7,25,000",First Owner,40481 Km,Manual,Diesel,Sedan,28.09 kmpl,1248 cc,89 bhp,15 Inch,5 Seater
Maruti Suzuki Swift VDi 2019,"₹ 6,25,000",First Owner,42245 Km,Manual,Diesel,Hatchback,28.4 kmpl,1248 cc,74 bhp,14 Inches,5 Seater
Maruti Suzuki Ciaz Delta 1.5 MT Petrol 2019,"₹ 8,75,000",First Owner,9252 Km,Manual,Petrol,Sedan,21.56 kmpl,1462 cc,103 bhp,15 Inches,5 Seater
Hyundai Xcent E Plus 2018,"₹ 5,15,000",First Owner,29833 Km,Manual,Petrol,Sedan,19.1 kmpl,1197 cc,82 bhp,14 Inch,2 Seater
Volkswagen Polo Highline 1.2L (P) 2017,"₹ 4,73,000",First Owner,2400 Km,Manual,Petrol,Hatchback,16 Kmpl,1198 cc,74 bhp,15'',5 Seater
Volkswagen Polo Comfortline 1.5L (D) 2019,"₹ 6,82,000",First Owner,33000 Km,Manual,Diesel,Hatchback,20 Kmpl,1498 cc,89 bhp,15 Inches,5 Seater
Toyota Glanza G BS6 2021,"₹ 8,75,000",First Owner,6014 Km,Manual,Petrol,Hatchback,21.0 kmpl,1197 cc,88 bhp,16 Inches,5 Seater
Toyota Fortuner Sigma 4 2017,"₹ 25,75,000",First Owner,34000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Hyundai Creta 1.6 SX+ AT Diesel 2018,"₹ 11,50,000",First Owner,60000 Km,Automatic,Diesel,SUV,17.1 kmpl,1582 cc,126 bhp,17 Inch,5 Seater
Hyundai Creta 1.6 SX AT Petrol 2019,"₹ 13,85,000",First Owner,19014 Km,Automatic,Petrol,SUV,15.29 kmpl,1591 cc,122 bhp,17 Inches,5 Seater
Toyota Innova Crysta 2.4 ZX 7 STR 2017,"₹ 17,05,000",First Owner,45000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,17 inch,7 Seater
Hyundai Creta 1.6 SX+ AT Petrol 2017,"₹ 10,50,000",First Owner,45100 Km,Automatic,Petrol,SUV,15.29 kmpl,1591 cc,122 bhp,16 Inch,5 Seater
Mitsubishi Pajero Sport 4X2 AT 2015,"₹ 12,90,000",First Owner,70000 Km,Automatic,Diesel,SUV,11.5kmpl,2477 cc,176 bhp,17'',5 Seater
Honda Jazz VX i-DTEC 2016,"₹ 5,50,000",First Owner,53000 Km,Manual,Diesel,Hatchback,27.3 kmpl,1498 cc,98 bhp,14 inch,5 Seater
Honda Accord 2.4 i-VTEC MT 2010,"₹ 4,10,000",First Owner,48000 Km,Manual,Petrol,Sedan,7.6 kmpl,2354cc,180PS,16 inch,5 Seater
Skoda Octavia ELEGANCE 1.8 TSI AT 2015,"₹ 8,40,000",First Owner,39900 Km,Automatic,Petrol,Sedan,14.7 kmpl,1798 cc,177 bhp,16 Inch,5 Seater
Honda City ZX GXi 2008,"₹ 1,80,000",Second Owner,84000 Km,Manual,Petrol,Sedan,12.8 kmpl,1497 cc,78,14 Inch,5 Seater
Maruti Suzuki Baleno Alpha 1.2 2015,"₹ 4,40,000",First Owner,55000 Km,Manual,Petrol,Hatchback,21.4kmpl,1197 cc,83.1bhp,16 Inch,5 Seater
Hyundai Verna 1.6 CRDI SX 2019,"₹ 15,25,000",First Owner,35633 Km,Manual,Diesel,Sedan,24.8 kmpl,1582 cc,126 bhp,16 Inches,5 Seater
Audi Q5 3.0 TDI Quattro Premium Plus 2016,"₹ 37,75,000",First Owner,55635 Km,Automatic,Diesel,SUV,12.37 kmpl,2967 cc,241 bhp,17 Inch,5 Seater
Mercedes-Benz CLA 200 CDI Sport 2016,"₹ 22,66,000",First Owner,57000 Km,Automatic,Diesel,Sedan,17.9 kmpl,2143 cc,134 bhp,17'',5 Seater
BMW 6 Series GT 630d Luxury Line 2019,"₹ 54,59,000",First Owner,9000 Km,Automatic,Diesel,Sedan,15.63 kmpl,2993 cc,265 bhp,18 Inches,5 Seater
Hyundai i20 1.2 Magna 2012,"₹ 2,49,000",First Owner,70000 Km,Manual,Petrol,Hatchback,12.4 kmpl,1197 cc,80Bhp,14 Inch,5 Seater
Maruti Suzuki S-Cross Alpha 1.6 2018,"₹ 9,15,000",First Owner,39000 Km,Manual,Diesel,Crossover,22.07 kmpl,1598 cc,118 bhp,16 Inch,5 Seater
Maruti Suzuki S-Cross Zeta 1.3 2016,"₹ 6,02,000",First Owner,11000 Km,Manual,Diesel,Crossover,24 kmpl,1248 cc,88.5bhp,16 Inch,5 Seater
Honda Mobilio V i-DTEC 2015,"₹ 5,68,000",First Owner,11000 Km,Manual,Diesel,MUV,24.5 kmpl,1498 cc,98.6bhp,15 Inch,7 Seater
Maruti Suzuki Baleno Delta 1.3 2019,"₹ 8,21,000",First Owner,25014 Km,Manual,Diesel,Hatchback,27.39kmpl,1248 cc,74 bhp,15 Inch,5 Seater
Audi A4 2.0 TDI 2011,"₹ 7,50,000",Second Owner,78000 Km,Automatic,Diesel,Sedan,18 kmpl,1968 cc,141 bhp,15 Inch,5 Seater
Volkswagen Polo Comfortline 1.2L (D) 2013,"₹ 2,90,000",Second Owner,58000 Km,Manual,Diesel,Hatchback,20 Kmpl,1198 cc,88.7bhp,15'',5 Seater
Maruti Suzuki Baleno Alpha 1.2 2019,"₹ 8,41,157",First Owner,18465 Km,Manual,Petrol,Hatchback,21.4kmpl,1197 cc,83.1bhp,16 Inch,5 Seater
Tata Tiago Revotorq XZ 2017,"₹ 4,35,000",First Owner,32500 Km,Manual,Diesel,Hatchback,27.28,1047 cc,69bhp,14 Inch,5 Seater
Maruti Suzuki Ertiga ZXI Plus Smart Hybrid 2019,"₹ 9,80,000",First Owner,20014 Km,Manual,Petrol,MUV,19.34 kmpl,1462 cc,103 bhp,15 Inches,5 Seater
Mahindra Thar LX 4 STR Hard Top Diesel AT BS6 2021,"₹ 20,25,000",First Owner,7000 Km,Automatic,Diesel,SUV,16.55 kmpl,2184cc,130 bhp,18 Inches,4 Seater
Hyundai Grand i10 Sportz 1.2 Kappa VTVT 2015,"₹ 4,20,000",First Owner,50900 Km,Manual,Petrol,Hatchback,18.9 kmpl,1197 cc,81 bhp,14 Inch,5 Seater
Skoda Octavia 2.0 TDI L&K 2020,"₹ 28,23,000",First Owner,24000 Km,Automatic,Diesel,Sedan,19.5 kmpl,1968 cc,141 bhp,16 Inches,5 Seater
Hyundai Creta E 1.5 Petrol BS6 2021,"₹ 10,83,000",First Owner,19658 Km,Manual,Petrol,SUV,16.8 kmpl,1497 cc,113 bhp,16 inch,5 Seater
Land Rover Range Rover Sport V6 HSE 2018,"₹ 50,00,000",Third Owner,115000 Km,Automatic,Petrol,SUV,12.65kmpl,2995 cc,335 bhp,20'',5 Seater
Toyota Innova Crysta 2.4 VX 8 STR 2018,"₹ 17,66,000",First Owner,45000 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,8 Seater
Mahindra Scorpio S10 2WD Intelli-Hybrid 2017,"₹ 11,00,000",First Owner,40014 Km,Manual,Diesel,SUV,16.36 kmpl,2179 cc,120 bhp,17'',7 Seater
Maruti Suzuki Swift VDi (O) 2016,"₹ 4,54,000",First Owner,1100 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Maruti Suzuki S-Cross Zeta 1.6 2018,"₹ 8,62,000",First Owner,21000 Km,Manual,Diesel,Crossover,22.07 kmpl,1598 cc,118 bhp,16 Inch,5 Seater
Maruti Suzuki Ciaz Zeta 1.4 MT 2018,"₹ 6,57,000",First Owner,24000 Km,Manual,Petrol,Sedan,20.73 kmpl,1373 cc,91 bhp,15 Inch,5 Seater
Mahindra Scorpio S10 2WD Intelli-Hybrid 2017,"₹ 11,00,000",First Owner,32014 Km,Manual,Diesel,SUV,16.36 kmpl,2179 cc,120 bhp,17'',7 Seater
Maruti Suzuki S-Cross Zeta 1.3 2017,"₹ 7,45,000",First Owner,40014 Km,Manual,Diesel,Crossover,24 kmpl,1248 cc,88.5bhp,16 Inch,5 Seater
Nissan Terrano XV D THP 110 PS 2014,"₹ 4,99,000",First Owner,88500 Km,Manual,Diesel,SUV,20.5 kmpl,1461 cc,83.8bhp,16 Inch,5 Seater
Toyota Fortuner 2.8 4x2 MT 2014,"₹ 12,50,000",Third Owner,110000 Km,Manual,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,17Inch,7 Seater
Toyota Innova 2.5 V 7 STR 2010,"₹ 5,65,000",Second Owner,145000 Km,Manual,Diesel,MUV,11.4 kmpl,2494 cc,102,15 Inch,5 Seater
Maruti Suzuki Ritz LXi 2016,"₹ 3,50,000",Second Owner,80000 Km,Manual,Petrol,Hatchback,18.5 kmpl,1197 cc,85 bhp,14 inch,5 Seater
Maruti Suzuki Ritz VDi 2015,"₹ 3,49,000",First Owner,115000 Km,Manual,Diesel,Hatchback,23.2 kmpl,1248 cc,73.94bhp,14 inch,5 Seater
Maruti Suzuki Baleno Zeta AT 1.2 2018,"₹ 6,99,000",First Owner,24950 Km,Automatic,Petrol,Hatchback,21.4 kmpl,1197 cc,83.1bhp,15 Inch,5 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 40,00,000",First Owner,3500 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Maruti Suzuki Eeco 5 STR AC 2018,"₹ 5,00,000",First Owner,5000 Km,Manual,Petrol,Van,16.20 Kmpl,1196 CC,73 bhp,13 Inch,5 Seater
Honda Amaze 1.2 S i-VTEC Opt 2018,"₹ 7,00,000",First Owner,4000 Km,Manual,Petrol,Sedan,17.8 kmpl,1198 cc,87 bhp,14 Inch,5 Seater
Maruti Suzuki Ignis Delta 1.2 AMT 2019,"₹ 7,00,000",First Owner,8000 Km,Automated Manual Transmission,Petrol,Hatchback,20.89 kmpl,1197 cc,82 bhp,15,5 Seater
Mercedes-Benz CLA 200 CDI Sport 2018,"₹ 29,98,689",First Owner,24000 Km,Automatic,Diesel,Sedan,17.9 kmpl,2143 cc,134 bhp,17'',5 Seater
Hyundai i20 Sportz 1.2 2012,"₹ 3,00,000",First Owner,85000 Km,Manual,Petrol,Hatchback,12.4 kmpl,1197 cc,80Bhp,14 Inch,5 Seater
Datsun Redi-GO 1.0 T (O) AMT 2018,"₹ 3,50,000",First Owner,11000 Km,Automated Manual Transmission,Petrol,Hatchback,22.5 kmpl,999 cc,67 bhp,13 inches,5 Seater
Toyota Fortuner 3.0 4X2 AT 2013,"₹ 13,00,000",Second Owner,190000 Km,Automatic,Diesel,SUV,12.55 kmpl,2982 cc,169 bhp,17 Inch,5 Seater
Toyota Fortuner 3.0 4X4 MT 2009,"₹ 6,80,000",Second Owner,170000 Km,Manual,Diesel,SUV,11.9 kmpl,2982 cc,169 bhp,17 Inch,5 Seater
Maruti Suzuki Swift DZire ZDi 2015,"₹ 9,20,000",First Owner,65000 Km,Manual,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Maruti Suzuki Ciaz VDi+ SHVS 2015,"₹ 9,20,000",First Owner,65000 Km,Manual,Diesel,Sedan,28.09 kmpl,1248 cc,88.5bhp,15 inch,5 Seater
Tata Tiago Revotron XM 2017,"₹ 3,65,000",First Owner,58188 Km,Manual,Petrol,Hatchback,23.84 kmpl,1199 cc,84 bhp,13 Inch,5 Seater
Honda City SV i-DTEC 2014,"₹ 5,20,000",Second Owner,65000 Km,Manual,Diesel,Sedan,26 kmpl,1498 cc,99 bhp,15 inch,5 Seater
